timestamp,rotationRateX,rotationRateY,rotationRateZ,userAccelerationX,userAccelerationY,userAccelerationZ
1946.5486,-0.33334783,0.16692749,0.44922778,0.03235376,-0.022635698,0.06032622
1946.5985,-1.0682445,0.5375688,1.897472,0.17125851,0.2951584,-0.25621307
1946.6484,1.7440879,2.2258906,3.6880002,0.39774925,2.0311503,-1.7416855
1946.6982,3.0706,4.484168,5.1970983,1.0116112,1.73626,-2.3107882
1946.7484,0.35662705,5.369401,3.5008519,-0.9375922,1.1364899,-0.63582355
1946.7982,-1.6515089,3.408672,2.7965543,-1.2338272,0.061968625,1.0876961
1946.848,-3.061291,1.1891013,2.4536774,-0.5782706,-0.7139646,1.6571622
1946.9487,-3.3938882,1.4667797,2.5977008,-0.6023503,-0.5695069,0.7698555
1946.9491,-3.45014,0.94821423,2.8285012,-0.27023795,-0.32346493,0.7812841
1946.9978,-1.875266,1.7106916,1.0795919,0.092074454,-0.25834382,0.7976254
1947.0477,-0.8856129,-4.5376763,-1.8781263,0.78786755,-0.14471412,2.7347245
1947.0975,0.42182466,-10.650299,-6.32928,-5.270507,-0.04323846,2.3171442
1947.1473,5.934314,-8.54896,-1.9873697,-4.9733577,-0.033366203,-1.1961677
1947.1974,-0.11013273,-6.00053,0.10472937,-2.65549,-2.0407567,1.7599064
1947.2473,-2.0344262,-4.3420644,0.2564527,-2.3578963,-0.44986206,-0.90347326
1947.2974,-1.7346032,-2.4452257,-0.77936935,-1.4466236,0.17103922,-2.3637283
1947.3472,-2.124323,-0.27870107,-0.45537153,-1.0392853,0.8536063,-1.632325
1947.3971,-0.9470409,1.0604917,-0.5140815,-0.71114886,0.88039,-0.3413931
1947.447,2.2072914,2.4102225,-1.1029041,-0.3814265,0.6319615,0.6790862
1947.497,0.3398274,4.064145,-1.1834148,-0.09880561,0.41873503,0.5418447
1947.5469,-4.530021,6.735535,-0.2414305,-0.7426477,0.20461708,-0.001412034
1947.5968,-3.259988,6.3950744,-0.96244085,-0.8449321,-0.41679984,2.152242
1947.6466,-3.3413587,4.314674,-1.8305225,0.052636266,-0.36497545,0.07150602
1947.6968,-2.7971358,6.5016475,-4.4056015,0.25529736,-0.94025254,-0.8076682
1947.7466,-7.4584584,4.156728,-5.418608,1.0270491,-1.1538773,1.2137072
