timestamp,rotationRateX,rotationRateY,rotationRateZ,userAccelerationX,userAccelerationY,userAccelerationZ
378.00458,1.1078432,2.190172,0.086766206,0.39604545,0.29235283,0.48187643
378.05487,-2.4138134,2.9867775,-0.29235333,-0.71109045,0.08448216,1.0776961
378.10516,-0.6662341,2.3866186,-0.46355942,-0.98999083,0.14696366,0.89168805
378.1555,-1.1843976,1.6731372,-0.4574669,-0.071012735,-0.20975366,0.12876594
378.2058,-0.14177448,1.9356136,-0.85264015,0.36273608,0.09219274,-0.7218279
378.25613,0.91591984,2.9311485,-0.22786482,0.93219733,0.20526278,-1.204144
378.3064,2.5957825,3.5044677,1.2831614,1.2261881,0.44543436,-1.6967022
378.35718,2.2777028,5.761099,2.881068,1.4751502,0.8312645,-2.379088
378.40704,-0.42372695,10.424741,4.528131,0.57334757,1.9205508,-1.279019
378.45724,-8.101774,11.890285,7.0107894,-0.45781416,1.8567233,0.3509915
378.5075,-9.553825,9.770569,5.709057,-0.6589491,0.30687964,1.8776512
378.5578,-9.493252,-0.038717024,-8.93028,-2.405648,-1.0902243,5.4627967
378.6081,25.41569,-28.586786,-18.89297,-18.119165,1.3527453,-1.802766
378.6583,2.0145192,2.1472657,10.397685,-5.1863303,-1.1003153,10.232778
378.70862,3.3446755,-7.0031724,2.356324,-5.5499125,-6.06673,5.5838876
378.75882,-10.275539,-7.8712306,-5.307216,-1.7705563,-2.8352232,0.8419472
378.80957,-10.138284,-2.251315,-5.998137,-4.719916,5.7139025,2.2943845
378.88214,-7.679584,-6.521257,-4.3469453,-2.0100174,3.2502956,0.49930334
378.91022,-9.816992,-6.1924224,-3.94649,-3.1568208,3.8744032,-0.6810413
378.95984,-10.825811,-0.80345047,-3.7941988,-1.4304638,2.2107165,0.03491813
379.01022,-1.2288891,1.4755601,-6.788217,-0.8992023,2.752593,-1.4133635
379.06046,4.1913033,1.5603081,-3.271162,-0.8525458,2.5468643,-0.30280876
379.11096,5.7639623,-0.48209327,0.4350551,0.2980746,1.8977879,-0.10188639
379.1614,3.2200913,-0.07828486,1.8135128,-0.3872506,1.0673943,-0.0050050616
379.21136,3.5043066,-0.48756984,2.5745244,-0.2835213,0.991593,0.39624107
