timestamp,rotationRateX,rotationRateY,rotationRateZ,userAccelerationX,userAccelerationY,userAccelerationZ
491.44635,-4.0850706,0.048858408,-0.41195184,0.27908862,-0.1416887,-0.27675974
491.49557,-3.1460195,0.3103589,0.61598444,0.16365206,-0.08375619,0.04188931
491.54727,-2.900197,0.51719373,1.2157377,0.29108584,0.011769429,0.28518963
491.59555,-2.910223,0.73591596,1.1011589,0.3938563,0.22305822,0.34347308
491.6475,-2.7189171,0.44518998,0.42600957,0.40466762,0.33929944,0.26995087
491.6959,-3.1106799,0.3227367,0.14597088,-0.015409231,0.47043255,0.17979774
491.747,-3.2397604,-0.11097143,0.8989019,-0.57192224,0.266989,0.32499772
491.7998,-3.4777381,-1.6855541,1.1172934,-0.33638358,-0.2285287,-0.037947983
491.84845,-2.6593182,-1.7520746,0.6013146,-0.50745887,-0.35833055,-0.22156641
491.8961,-0.94111544,-0.9332985,-0.33164242,-0.2890995,-0.20129928,-0.48473662
491.94757,-0.14114623,-0.69661504,-0.49934417,0.014143467,-0.18863472,-0.48390347
491.99628,-0.054333564,0.07175604,-0.31095123,0.02277863,-0.07976807,-0.42705315
492.04846,0.15672281,0.8167744,-0.13057835,0.045235872,-0.019186102,-0.44864666
492.0966,0.28727603,1.0492171,-0.22530499,0.108201385,-0.08129927,-0.4272964
492.1481,-0.6547445,1.3455619,-0.0048782155,-0.62529653,0.9011495,0.5915012
492.19653,-0.22017147,1.1613193,0.31956765,0.0663836,-0.8378975,-0.25903347
492.24756,-0.6448258,0.9040251,0.55620456,-0.026323557,-0.091585495,-0.04163277
492.29678,0.19386818,1.7673265,-0.8077062,-0.4538973,0.85516685,0.44345644
492.34756,-0.7386431,0.8057992,0.3293859,0.22746474,-0.12595657,-0.36488682
492.39697,-0.973424,0.056135006,0.49479428,0.11157632,0.18937476,-0.26200092
492.44852,-1.216046,-0.5698377,0.28422374,-0.13772506,0.19977546,0.23358902
492.49716,-0.6877273,-1.1945367,0.5822767,0.06713438,0.086691245,-0.35877603
492.54785,-0.4299791,-0.9739104,0.6185609,0.016952753,0.11383219,-0.12710363
492.6152,-0.64527714,-0.83045906,0.4236713,-0.079116285,0.1890482,-0.20037866
492.64838,-0.72243154,-0.14505225,0.30498898,-0.14305544,0.12609397,-0.17791963
